model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.3,617,0.5975762439316188,0.7116212338593975,70,124,0.7946456543958095,0.7981591467654385,0.7911629592070465,7695544.0,2031332.0,1946072.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.4,617,0.5972678210479037,0.7106782106782107,71,124,0.7959644062721747,0.7889713716040962,0.8030825148241681,7606959.0,1865242.0,2034657.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.5,617,0.5965426491483362,0.7104891922639363,72,126,0.7963937228488518,0.7800047212002635,0.8134862180692988,7520506.0,1724280.0,2121110.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.6,617,0.5955822686208532,0.7089324618736383,72,129,0.796116895009856,0.7705189669449602,0.8234740804645033,7429048.0,1592545.0,2212568.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.7,617,0.5942953039670817,0.7071005917159763,72,129,0.7950570645395945,0.759054602464981,0.8346448206836902,7318513.0,1449903.0,2323103.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.8,617,0.5923309335773607,0.7059112695096473,76,130,0.7922983512313659,0.7433930162744503,0.8480914448961413,7167510.0,1283831.0,2474106.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.9,617,0.5879374502909667,0.7035928143712575,82,132,0.7834443853206634,0.7139728443862523,0.8678927617523893,6883852.0,1047833.0,2757764.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.05,251,0.4381584450427871,0.4773347897323867,50,91,0.43279944803096637,0.3617425449723982,0.5385954832945679,425610.0,364612.0,750945.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.1,251,0.4369460664277007,0.4798464491362764,50,93,0.4297168511254589,0.34851749386981484,0.5602457129350427,410050.0,321861.0,766505.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.2,251,0.43566594377243667,0.46772908366533866,53,94,0.4245845122891338,0.335172601365852,0.5790555651000483,394349.0,286672.0,782206.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.3,251,0.4337099872910506,0.4669603524229075,54,95,0.41961238083514557,0.32594226364258366,0.5888325886345142,383489.0,267781.0,793066.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.4,251,0.4322038049876002,0.4618226600985222,54,95,0.4149192390862207,0.31817722078440874,0.5961917927336373,374353.0,253554.0,802202.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.5,251,0.43036343915123915,0.46523754345307067,55,97,0.4101933527560786,0.3108949432878191,0.6026896416502312,365785.0,241136.0,810770.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.6,251,0.4281828638515112,0.46337308347529815,55,99,0.40545576617302487,0.30386084798415713,0.6091096659437043,357509.0,229428.0,819046.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.7,251,0.4254896517738712,0.4639175257731959,55,99,0.4000918661166183,0.29612980268665723,0.6165401426270991,348413.0,216697.0,828142.0
nnUNetResEnc_Layer1_sourceaware,fold,3,nca,0.8,251,0.4220579836104391,0.4712041884816754,58,99,0.3927083964908517,0.2862628606397491,0.6251779638522237,336804.0,201929.0,839751.0
